ds100,lat,lon
HBNS,51.72800441,8.80658345
EPD,51.71304933,8.74077757
ESMD,51.71181688,8.64517864
ESZK,51.6725042,8.5995288
EGK,51.64512223,8.51033509
EERI,51.66276913,8.44888641
EDED,51.67233374,8.39800724
ELPP,51.67070704,8.34871489
EBEH,51.64276823,8.25821124
EBSA,51.58644124,8.16181765
ESOT,51.57847078,8.10459386
HLEM,52.28468814,9.60684609
HWSN,52.27944446,9.57168036
HEGT,52.27877688,9.51332563
HKDF,52.28988188,9.49189332
HBGH,52.30479853,9.46731926
HWIN,52.32318309,9.43641816
HBTF,52.33202359,9.41809911
HNDF,52.34509882,9.37778719
HSEN,52.31855367,9.96262121
HALG,52.2516083,9.96658189
HHRS,52.20749561,9.96569056
HHI,52.16034267,9.95205428
HHTA,52.15983866,9.88558674
HEMK,52.1621266,9.86695725
HROS,52.17064522,9.82553401
HHEP,52.20016973,10.19779027
HHEG,52.20120949,10.21550141
HWWI,52.20066937,10.2796592
HBST,52.197008,10.32058886
HBVP,52.19978684,10.33128348
HHIO,52.14657382,9.963132
HGDN,52.09772362,10.02001753
HDBG,52.09694013,10.14360032
HBAD,52.0891049,10.22900063
HSRI,52.03805135,10.31513953
HGS,51.91115255,10.42292813
HGRN,51.52146683,9.90846536
HKBA,51.5727187,9.90892515
HLGL,51.58841626,9.87126415
HLOD,51.58913651,9.79100369
HADB,51.57766387,9.75999597
HOFN,51.58884439,9.67971476
HVWH,51.62918294,9.61304416
HBOF,51.63702111,9.56165049
HKAT,51.68614492,10.09969237
HWUL,51.65946822,10.17607327
HHTF,51.64601315,10.23664585
HHB,51.64385875,10.32989702
HSC,51.62416131,10.39978143
HBLB,51.61884018,10.4149165
HSCH,51.58240223,10.57386227
HWKD,51.58531264,10.60785394
UER,51.5797825,10.66938595
UWOF,51.55549742,10.722108
UNIW,51.54520891,10.76378993
UNSA,51.51507352,10.77319968
HSSN,51.88722006,10.17412067
HMHZ,51.8490597,10.18874431
HGT,51.78743494,10.20293792
HOTM,51.72632139,10.24496076
HOTL,51.71701904,10.2729653
HHBS,51.65414217,10.33269411
HMEH,52.10854291,9.69521506
HOTW,52.09726363,9.63646003
HVOL,52.10147746,9.5829254
HCOP,52.119465,9.53719756
HWEL,52.12022525,9.3396365
HHSO,52.1672918,9.24204595
HRIN,52.19900604,9.07805012
HVTH,52.19131714,8.96336765
HVLO,52.17246387,8.8639262
HBOE,52.19712913,8.80288303
HBBU,52.03284502,10.00387482
HBSAA,52.06101383,10.00512316
HBSA,52.06264676,10.00539503
HBSK,52.07011852,10.01880669
HWES,52.08155311,10.03424193
HSMK,52.26056091,10.56948069
HBUH,52.26264238,10.59636844
HWED,52.26913535,10.62346115
HWEA,52.26999796,10.63051564
HSDL,52.26726167,10.68526583
HKOL,52.25718496,10.81246805
HFST,52.21380295,10.90997661
HHLM,52.22213315,11.01061914
HRUE,52.22441475,10.50898204
HLFB,52.20828831,10.50430971
