Abk,Name,Kurzname,Typ,,
TNA,Nagold,Nagold,Bf,,
TNA E,Nagold Einkaufszentrum,Nagold Einkauf,Bush,,
TNA M,Nagold-Stadtmitte,Nag-Stadtmitte,Bft,,
TNAI,Nagold-Iselshausen,Nag-Iselshausen,Hp,,
TNAS,Nagold-Steinberg,Nagold-Steinberg,Hp,,
TNB,Niederbiegen,Niederbiegen,Hp,,
TNBA,Niederbiegen Awanst,Niederb Awanst,Awanst,,
TNBG,Nagelsberg,Nagelsberg,Anst,,
TNBN,Nabern,Nabern Üst,Üst,,
TNBP,Niederbiegen Post,Bundespost,Anst,,
TNBX,Nabern ESTW-A,Nabern ESTW-A,BZ,,
TND,Neudenau,Neudenau,Hp,,
TNE,Neuenbürg (Württ),Neuenbürg(Württ),vp-Bf,,
TNEB,Neuenbürg (Württ) Freibad,Neuenb Freibad,vp-Hp,,
TNED,Nendingen (b Tuttlingen),Nendingen(Tuttl),Hp,,
TNEE,Neuenbürg Eyachbrücke,Eyachbrücke,vp-Hp,,
TNEF,Neuffen,Neuffen,NE-Bf,,
TNEH,Nehren,Nehren,Hp,,
TNES,Neuenbürg Süd,Neuenbürg Süd,vp-Hp,,
TNF,Niefern,Niefern,Hp,,
TNFH,Neufra (Hohenz),Neufra (Hohenz),NE-Hp,,
TNG,Neckarsulm Grenze AVG/SWH,Nsu Gr AVG/SWH,NE-Gp,,
TNHA,Niedernhall,Niedernhall,Bf,,
TNHO,Neustadt-Hohenacker,Neustadt-Hohena,Bf,,
TNHU,Metzingen-Neuhausen,Metzingen-Neuh,NE-Hp,,
TNI,Niederstetten,Niederstetten,Bf,,
TNK,Niklashausen,Niklashausen,Hp,,
TNL,Nellmersbach,Nellmersbach,Hp,,
TNN,Neuenstein,Neuenstein,Hp,,
TNN S,Neuenstein Seewiese,Neuenstein Seew,Bush,,
TNO,Nordheim (Württ),Nordheim (Württ),Hp,,
TNS,Niederstotzingen,Niederstotzingen,Bf,,
TNSK,Neckarsulm Kaufland,Nsu Kaufland,NE-Hp,,
TNSN,Neckarsulm Nord,Neckarsulm Nord,Hp,,
TNST,Neuenstadt (Kocher),Neuenstadt/Koch.,NE-Bf,,
TNSW,Neuenstadt West,Neuenstadt West,NE-Bf,,
TNT,Neckartal,Neckartal,Bf,,
TNTX,Neckartal ESTW-UZ,Neckartal ESTW,BZ,,
TNU,Nürtingen,Nürtingen,Bf,,
TNU B,Nürtingen Busbf,Nürtingen Busbf,Bush,,
TNU R,Nürtingen-Roßdorf,Nürting-Roßdorf,NE-Hp,,
TNUF,Nufringen,Nufringen,Hp,,
TNUG,Nürtingen DB/WEG,Nürtingen DB/WEG,Gp,,
TNUV,Nürtingen Vorstadt,Nürtingen Vorst,NE-Hp,,
TNW,Stuttgart Neuwirtshaus (Porscheplatz),Neuwirtshaus,Hp,,
TNX,Neufra (b Rottweil),Neufra b Rottw,Bf,,
TNY,Neckarhausen (b Horb),Neckarhsn b Horb,Bf,,
TO,Osterburken,Osterburken,Bf,,
TOAI,Oberaichen,Oberaichen,Hp,,
TOB,Oberndorf (Neckar),Oberndorf (N),Bf,,
TOBA,Oberboihingen Abzw,Oberboihing Abzw,Abzw,,
TOBB,Oberboihingen,Oberboihingen,Hp,,
TOBG,Ohrnberg,Ohrnberg,NE-Bf,,
TOBN,Oberboihingen Neckartal,Neckartal,Abzw,,
TOBZ,Oberzell,Oberzell,Hp,,
TOC,Ochsenhausen,Ochsenhausen,Museum,,
TODH,Ödheim,Ödheim,NE-Bf,,
TOE,Öhringen Hbf,Öhringen Hbf,Bf,,
TOE S,Öhringen Stadthalle,Öhringen Stadth,Bush,,
TOED,Ölbronn-Dürrn,Ölbronn-Dürrn,Hp,,
TOEN,Ölbronn,Ölbronn,Bush,,
TOER,Öhringen Römerwall,Römerwall,Bft,,
TOES,Oberesslingen,Oberesslingen,Hp,,
TOESF,Oberesslingen                    (Fernb),Oberesslingen F,Hp,,
TOET,Ötisheim,Ötisheim,Hp,,
TOEW,Öhringen West,Öhringen/West,Hp,,
TOFS,Offenhausen,Offenhausen,vp-Hp,,
TOH,Oberheutal,Oberheutal,vp-Bf,,
TOHS,Olnhausen,Olnhausen,NE-Bf,,
TOL,Oberlenningen,Oberlenningen,Bf,,
TOLC,Oberelchingen,Oberelchingen,Hp,,
TON,Oberkochen,Oberkochen,Bf,,
TOP,Oppenweiler (Württ),Oppenweiler (Wü),Bf,,
TOPP,Oppingen,Oppingen,Museum,,
TOR,Ostrach,Ostrach,vp-Bf,,
TOSC,Oberschmeien,Oberschmeien,Hp,,
TOW,Owen (Teck),Owen (Teck),Hp,,
TP,Plochingen,Plochingen,Bf,,
TPA,Pfaffenhofen (Württ),Pfaffenhofen(Wü),Anst,,
TPB,Brötzingen Mitte,Brötzingen Mitte,vp-Bf,,
TPBG,Brötzingen Übergang DB/AVG,Brötzing DB/AVG,Gp,,
TPBS,Brötzingen Sandweg,Brötz Sandweg,vp-Bft,,
TPBW,Brötzingen Wohnlichstraße,Brötz Wohnlich,vp-Hp,,
TPF,Pflaumloch,Pflaumloch,Hp,,
TPG,Pfäffingen,Pfäffingen,NE-Bf,,
TPH,Pforzheim Hbf,Pforzheim Hbf,Bf,,
TPH Z,Pforzheim Hbf ZOB,Pforzheim HbfZOB,Bush,,
TPHD,Pforzheim Durlacher Straße,Pf Durlacher Str,vp-Bft,,
TPHG,Pforzheim Übergang DB/AVG,Pforzheim DB/AVG,Gp,,
TPHM,Pforzheim Maihälden,Pf Maihälden,vp-Hp,,
TPL,Plüderhausen,Plüderhausen,Bf,,
TPT,Stuttgart Pragtunnel,Pragtunnel,Abzw,,
TPU,Pfullendorf,Pfullendorf,vp-Hp,,
TPW,Pforzheim-Weißenstein,Weißenstein,Bf,,
TQC,Crailsheim BW/BY,Crailsheim BW/BY,LGr,,
TQGR,Gaubüttelbrunn BW/BY,Gaubüttelbr LGr,LGr,,
TQKN,Kressbronn BW/BY,Kressbronn BW/BY,LGr,,
TQLL,Langenau (Württ) BW/BY,Langenau(Wü)LGr,LGr,,
TQPF,Pflaumloch BW/BY,Pflaumloch BW/BY,LGr,,
TQTA,Tannheim (Württ) BW/BY,Tannheim(W)LGr,LGr,,
TQTL,Thalfingen (b Ulm) BY/BW,Thalfingen LGr,LGr,,
TQUF,Ulm Hbf BW/BY Fernbahn,Ulm Hbf BW/BY FB,LGr,,
TQUR,Ulm Hbf BW/BY Regionalbahn,Ulm Hbf BW/BY RB,LGr,,
TQWW,Wangen (Allgäu) BW/BY,Wangen(Allg)LGr,LGr,,
TR,Rottweil,Rottweil,Bf,,
TR  T,Rottweil Tuttlinger Straße,Rottweil Tuttl S,Bush,,
TRA,Renningen Rankmühle,Rankmühle,Üst,,
TRB,Ravensburg,Ravensburg,Bf,,
TRBG,Rosenberg (Baden),Rosenberg/Baden,Hp,,
TRC,Rechtenstein,Rechtenstein,Bf,,
TRCB,Reichenberg,Reichenberg,Hp,,
TRE,Reutlingen Hbf,Reutlingen Hbf,Bf,,
TRE B,Reutlingen Busbf,Reutlingen Busbf,Bush,,
TREB,Reutlingen-Betzingen,Reutl-Betzingen,Hp,,
TRED,Reutlingen Süd,Reutlingen Süd,Bf,,
TRES,Reutlingen-Sondelfingen,Reutl-Sondelfing,Hp,,
TREW,Reutlingen West,Reutlingen West,Hp,,
TRF,Reichenbach (Fils),Reichenbach/Fils,Hp,,
TRG,Rottweil-Göllsdorf,Rottw-Göllsdorf,Hp,,
TRGD,Rangendingen,Rangendingen,NE-Bf,,
TRH,Rietheim (Württ),Rietheim (Württ),Bf,,
TRHZ,Wendlingen Rübholz,Rübholz,Abzw,,
TRI,Riedlingen,Riedlingen,Bf,,
TRKN,Rottweil Knauf,Knauf,Awanst,,
TRL,Reicholzheim,Reicholzheim,Hp,,
TRLO,Reicholzheim Ort,Reicholzheim Ort,Bush,,
TRM,Rammingen (Württ),Rammingen,Bf,,
TRNF,Rottweil-Neufra,Rottw-Neufra,Hp,,
TRO,Roigheim,Roigheim,Hp,,
TROA,Roigheim Awanst,Roigheim Awanst,Awanst,,
TROG,Roßberg Einmündung Stadt,Roßberg Em Stadt,Gp,,
TROM,Rommelshausen,Rommelshausen,Hp,,
TROS,Roßberg,Roßberg,Bf,,
TRR,Rottenacker,Rottenacker,Bf,,
TRS,Rot am See,Rot am See,Bf,,
TRSA,Rottweil Saline,Rottweil Saline,Hp,,
TRST,Rißtissen,Rißtissen,Awanst,,
TRT,Rottenburg (Neckar),Rottenburg (N),Bf,,
TRT B,Rottenburg (Neckar) E-Bolz-Platz,Rottenburg E-B-P,Bush,,
TRT H,Rottenburg (Neckar) HZL,Rottenburg (N) H,Museum,,
TRTT,Reinstetten,Reinstetten,Museum,,
TRU,Rudersberg,Rudersberg,NE-Bf,,
TRUN,Rudersberg Nord,Rudersberg Nord,NE-Hp,,
TRUO,Rudersberg-Oberndorf,Rudbg-Oberndorf,NE-Hp,,
TRUS,Ruchsen,Ruchsen,NE-Bf,,
TRUT,Rutesheim,Rutesheim,Hp,,
TRUW,Rottweil Unterwerk,Rottweil Unterw,Awanst,,
TRX,Renningen,Renningen,Bf,,
TRXS,Renningen Süd,Renningen Süd,Hp,,
TRY,Rotenbach,Rotenbach,vp-Hp,,
TS,Stuttgart Hbf,Stuttgart Hbf,Bf,,
TS  B,Stuttgart 21 Projekt,Stuttgart 21,Bf,,
TS  M,Stuttgart Hbf Gl 421-423,Stg Gl 421-423,Bft,,
TS  N,Stuttgart Hbf Em Nord,Stg Hbf Em Nord,Bft,,
TS  P,Stuttgart Hbf Gw Prag,Stg Hbf Gw Prag,Bft,,
TS  R,Stuttgart Hbf Gw Rosenstein,Stg Gw Rosenst.,Bft,,
TS  T,Stuttgart Hbf tief,Stg Hbf tief,Bft,,
TS  U,Stuttgart Busbf,Stuttgart Busbf,Bush,,
TS  W,Stuttgart Hbf Em Wolframstraße,Stg.Hbf Wolfram.,Bft,,
TS  9,Stuttgart Prüfer,Stuttg Prüf,Est,,
TSA,Sachsenheim,Sachsenheim,Bf,,
TSAL,Salach,Salach,Hp,,
TSAT,Satteldorf,Satteldorf,Bf,,
TSB,Stuttgart Hbf (S-Bahn),Stg Hbf (S-Bahn),Bf,,
TSBD,Schwieberdingen,Schwieberdingen,NE-Bf,,
TSBG,Schönberg (b Gaildorf),Schönberg,NE-Bf,,
TSBH,Stubersheim,Stubersheim,NE-Bf,,
TSBK,Sulzbach (Kocher),Sulzbach(Kocher),NE-Bf,,
TSBM,Sulzbach (Murr),Sulzbach (Murr),Bf,,
TSC,Stuttgart-Bad Cannstatt,Stg-Bad Cannst,Bf,,
TSCB,Schömberg (bei Balingen),Schömberg b Bal,vp-Bf,,
TSCH,Schrezheim,Schrezheim,Hp,,
TSCS,Schömberg Stausee,Schömb Stausee,vp-Hp,,
TSD,Süßen,Süßen,Bf,,
TSE,Sennfeld,Sennfeld,Hp,,
TSEB,Stuttgart Ebitzweg,Stg-Ebitzweg,Hp,,
TSEP,Scheppach,Scheppach,Hp,,
TSER,Sersheim,Sersheim,Hp,,
TSF,Schorndorf,Schorndorf,Bf,,
TSF G,Schorndorf Gütergleise,Schorndf Gz-gl,Bft,,
TSFE,Stuttgart-Feuerbach,Stg-Feuerbach,Hp,,
TSFH,Schorndorf-Hammerschlag,Schorndf-Hammer,NE-Hp,,
TSFS,Stuttgart Feuersee,Stg Feuersee,Hp,,
TSG,Schwäbisch Gmünd,Schwäbisch Gmünd,Bf,,
TSGZ,Storzingen,Storzingen,Bf,,
TSH,Stuttgart Hafen,Stuttgart Hafen,Bf,,
TSHA,Schmiechen Albbahn,Schmiechen Albb,vp-Hp,,
TSHG,Stetten am Heuchelberg,Stetten am Heubg,vp-Bf,,
TSHL,Schwäbisch Hall,Schwäbisch Hall,Bf,,
TSHLB,Schwäbisch Hall ZOB,Schwäb Hall ZOB,Bush,,
TSHM,Schmiechen,Schmiechen,Hp,,
TSHT,Schwäbisch Hall-Hessental,Schw H-Hessental,Bf,,
TSI,Sindelfingen,Sindelfingen,Bf,,
TSID,Sigmaringendorf,Sigmaringendorf,Abzw,,
TSIE,Sigmaringen Eisele,Eisele,Awanst,,
TSIG,Sigmaringen,Sigmaringen,Bf,,
TSIH,Sigmaringendorf                     (Hp),Sigmaringendf Hp,Hp,,
TSIL,Sigmaringen Landesb,Sigmaringen Lb.,NE-Bf,,
TSK,Schelklingen,Schelklingen,Bf,,
TSKS,Schalkstetten,Schalkstetten,NE-Bf,,
TSL,Bad Saulgau,Saulgau,Bf,,
TSLB,Schlechtbach,Schlechtbach,NE-Hp Anst,,
TSLT,Schlatt (Hohenz),Schlatt (Hohenz),NE-Hp,,
TSM,Stuttgart-Münster,Stg-Münster,Bf,,
TSMI,Stuttgart Stadtmitte,Stg Stadtmitte,Hp,,
TSMS,Stuttgart Mittnachtstraße,Stg Mittnachtstr,Bf,,
TSN,Stuttgart Nordbahnhof,Nordbahnhof,Hp,,
TSNA,Stuttgart Nürnberger Straße Abzw,Nürnbg Str Abzw,Abzw,,
TSNR,Stuttgart Nord Gbf,Stg Nord Gbf,Bf,,
TSNRE,Stuttgart Nord Gbf Em,Stg Nord Gbf Em,Bft,,
TSNS,Stuttgart Neckarpark,Neckarpark,Bf,,
TSNU,Stuttgart Nürnberger Straße,Stg Nürnbg Str,Hp,,
TSO,Stuttgart Ost,Stuttgart Ost,Bf,,
TSOD,Sondernach Albbahn,Sondernach,vp-Hp,,
TSOI,Stuttgart-Obertürkheim Industriegleis,Obertürkh Indgl,Awanst,,
TSOM,Stuttgart-Obertürkheim,Stg-Obertürkheim,Bf,,
TSOMB,Stuttgart-Obertürkheim (Busbahnhof),Stg-Obertürk Bus,Bush,,
TSON,Sontheim-Brenz,Sontheim-Brenz,Bf,,
TSOS,Stuttgart Österfeld,Stg Österfeld,Hp,,
TSOW,Stuttgart-Wangen,Stg-Wangen,Abzw,,
TSP,Spaichingen,Spaichingen,Bf,,
TSPF,Schopfloch (b Freudenstadt),Schopfloch b Fr,Bf,,
TSPFT,Schopfloch (b Freudenstadt) Tankstelle,Schopfloch Tanks,Bush,,
TSPM,Spaichingen Mitte,Spaiching Mitte,Hp,,
TSQ,Stuttgart Bedienstandort,Stuttgart BSO,BSO,,
TSRD,Stuttgart-Vaihingen Dürrlewang,Dürrlewang,Bft,,
TSRO,Stuttgart-Rohr,Stuttgart-Rohr,Bft,,
TSS,Stuttgart Schwabstraße,Stg Schwabstraße,Bf,,
TSS W,Stuttgart Schwabstraße Wendeanlage,Schwabstr Wende,Bft,,
TSSM,Stuttgart-Sommerrain,Stg-Sommerrain,Hp,,
TSSW,Stuttgart Schwabstraße Wende,Schwabstr Wende,Bft,,
TST,Stuttgart 21 Hbf,Stuttgart 21 Hbf,Bf,,
TSTD,Stetten (Donau),Stetten (D),Hp,,
TSTE,Stetten-Beinstein,Stetten-Beinst,Hp,,
TSTL,Schöntal,Schöntal,NE-Bf,,
TSTLK,Schöntal Kloster,Schöntal Kloster,Bush,,
TSTR,Straßberg-Winterlingen,Straßberg-Wiling,Hp,,
TSTT,Stetten (b Haigerloch),Stetten b Haig.,NE-Bf,,
TSTX,Stuttgart ESTW-UZ,Stuttgart ESTW,BZ,,
TSU,Stuttgart-Untertürkheim,Stg-Untertürkhm,Bf,,
TSU C,Stuttgart-Bad Cannstatt Gbf,Stg-Bad Cann.Gbf,Bft,,
TSU F,Stuttgart-Untertürkheim Gl 526-528,Stg-Utürkhm 526f,Bft,,
TSU G,Stuttgart-Untertürkheim Gbf,Stg-Utürkhm Gbf,Bft,,
TSU P,Stuttgart-Untertürkheim Pbf,Stg-Utürkhm Pbf,Bft,,
TSUD,Sulzdorf,Sulzdorf,Bf,,
TSUE,Sülzbach,Sülzbach,Hp,,
TSUH,Stuttgart-Untertürkheim Hp,S-Untertürkh Hp,Hp,,
TSUL,Sulz (Neckar),Sulz (Neckar),Bf,,
TSUM,Sulmingen,Sulmingen,Museum,,
TSUN,Stuttgart Universität,Stg Universität,Hp,,
TSUS,Sülzbach Schule,Sülzbach Schule,Hp,,
TSUX,Stuttgart-Untertürkheim ESTW-UZ,Stg-Utürkhm ESTW,BZ,,
TSV,Stuttgart-Vaihingen,Stg-Vaihingen,Bf,,
TSW,Stuttgart West,Stuttgart West,Bf,,
TSWA,Schwabsberg,Schwabsberg,Hp,,
TSWE,Schweigern (Baden),Schweigern/Baden,Awanst,,
TSWF,Stuttgart-Weilimdorf,Stg-Weilimdorf,Hp,,
TSWG,Schwaigern (Württ),Schwaigern,vp-Bf,,
TSWK,Schwaikheim,Schwaikheim,Hp,,
TSWO,Schwaigern Ost,Schwaigern Ost,vp-Hp,,
TSWW,Schwaigern West,Schwaigern West,vp-Bft,,
TSX,Schemmerberg,Schemmerberg,Hp,,
TSY,Siglingen,Siglingen,Hp,,
TSZ,Stuttgart-Zuffenhausen,Stg-Zuffenhausen,Bf,,
TSZ E,Stuttgart-Zuffenhausen Em,Stg-Zuffenhsn Em,Bft,,
TSZ F,Stuttgart-Feuerbach WEG,Stg-Feuerb WEG,Bft,,
TSZA,Stuttgart-Zazenhausen,Stg-Zazenhausen,Bft,,
TSZAH,Stuttgart-Zazenhausen Hp,Zazenhausen Hp,Bft,,
TSZG,Schrozberg,Schrozberg,Bf,,
TSZGF,Schrozberg Friedhof,Schrozberg Fried,Bush,,
TT,Tübingen Hbf,Tübingen Hbf,Bf,,
TT  E,Tübingen Europaplatz,Tübingen Europap,Bush,,
TT  G,Tübingen Gbf,Tübingen Gbf,Bft,,
TT  H,Tübingen Hbf HZL,Tübingen Hbf HZL,Tp,,
TTA,Tannheim (Württ),Tannheim (Württ),Bf,,
TTAL,Schelklingen Talsteußlingen,Talsteußlingen,NE-Hp,,
TTAW,Tannwald,Tannwald,NE-Hp,,
TTB,Tauberbischofsheim,Tauberbischofshm,Bf,,
TTBN,Tauberbischofsheim Nord,Tauberbisch Nord,Awanst,,
TTD,Tübingen-Derendingen,Tübgn-Derendingn,Hp,,
TTEH,Schelklingen Teuringshofen,Teuringshofen,NE-Hp,,
TTH,Talhausen,Talhausen,Bf,,
TTI,Thiergarten (Hohenz),Thiergarten(Hz),Hp,,
TTL,Thalfingen (b Ulm),Thalfingen b Ulm,Bf,,
TTLU,Tübingen-Lustnau,Tübingen-Lustnau,Hp,,
TTM,Tamm (Württ),Tamm (Württ),Bf,,
TTN,Tuttlingen Nord,Tuttlingen Nord,Awanst,,
TTNG,Tettnang,Tettnang,Anst,,
TTO,Trochtelfingen (b Bopfingen),Trochtelfingen,Hp,,
TTPS,Heilbronn Trappensee,Trappensee,Hp,,
TTQ,Tübingen Bedienstandort,Tübingen BSO,BSO,,
TTR,Trossingen Bahnhof,Trossingen Bf,Bf,,
TTR H,Trossingen Bahnhof TE,Trossingen TE,fb-Bft,,
TTRA,Trochtelfingen (Hohenz) Alb-Gold,Trochtelf Alb-G,NE-Hp Bk,,
TTRF,Trochtelfingen (Hohenz),Trochtelfgn/Hzl,NE-Bf,,
TTRG,Trossingen DB/TE,Trossingen DB/TE,Gp,,
TTRS,Trossingen Stadt,Trossingen Stadt,NE-Bf,,
TTU,Tuttlingen,Tuttlingen,Bf,,
TTUG,Tuttlingen Gänsäcker,Tuttl Gänsäcker,Hp,,
TTUN,Tuttlingen Nord,Tuttlingen Nord,Hp,,
TTUQ,Tuttlingen Bedienstandort,Tuttlingen BSO,BSO,,
TTUS,Tuttlingen Schulen,Tuttl Schulen,Bft,,
TTUZ,Tuttlingen Zentrum,Tut Zentrum,Hp,,
TTW,Tübingen West,Tübingen West,NE-Bf,,
TTWG,Tübingen DB/ZÖA,Tübingen DB/ZÖA,Gp,,
TU,Ulm Hbf,Ulm Hbf,Bf,,
TU  F,Ulm-Söflingen,Ulm-Söflingen,Bft,,
TU  N,Ulm Hbf Em Nord,Ulm Hbf Em Nord,Bft,,
TU  O,Ulm Hbf Em Ost,Ulm Hbf Em Ost,Bft,,
TU  R,Ulm Hbf Bft Rbf,Ulm Rbf,Bft,,
TU  S,Ulm-Böfingen Eberhard-Finckh-Straße,Ulm-Böf E-Finckh,Bush,,
TU  U,Ulm Ubf Neubau,Ulm Ubf,Bft,,
TUA,Urbach (b Schorndorf),Urbach b Schorn,Hp,,
TUBN,Unterboihingen,Unterboihingen,Abzw,,
TUBX,Unterboihingen ESTW-A,Unterboih ESTW,BZ,,
TUC,Bad Urach,Bad Urach,NE-Bf,,
TUC B,Bad Urach Bushst,Bad Urach Bush,Bush,,
TUCK,Bad Urach Ermstalklinik,Bad Urach Klinik,NE-Hp,,
TUCW,Bad Urach Wasserfall,B Urach Wasserf,NE-Hp,,
TUD,Ulm-Donautal,Ulm-Donautal,Abzw,,
TUDS,Ulm-Donautal Stadtwerke,Ulm-Donautal SWU,Bf,,
TUDT,Ulm-Donautal Hp,Ulm-Donautal Hp,Hp,,
TUE,Unterelchingen,Unterelchingen,Bf,,
TUF,Ummendorf,Ummendorf,Bf,,
TUG,Untergriesheim,Untergriesheim,Hp,,
TUGN,Untergröningen,Untergröningen,NE-Bf,,
TUH,Uhingen,Uhingen,Bf,,
TUJM,Unterjesingen Mitte,Unterjes Mitte,NE-Hp,,
TUJS,Unterjesingen Sandäcker,Unterjes Sandäck,NE-Hp,,
TUK,Unterkochen,Unterkochen,Bf,,
TUL,Unterlenningen,Unterlenningen,Hp,,
TUMS,Untermünkheim Schule,Untermünkhm Schu,Bush,,
TUN,Unlingen,Unlingen,Awanst,,
TUNR,Unterrot,Unterrot,NE-Bf,,
TUO,Ulm Ost,Ulm Ost,Hp,,
TUOE,Ulm-Örlingen,Ulm-Örlingen,Üst,,
TUP,Unterschüpf,Unterschüpf,Anst,,
TUQ,Ulm Bedienstandort,Ulm BSO,BSO,,
TURB,Unterreichenbach,Unterreichenbach,Bf,,
TURS,Urspring,Urspring,Hp,,
TV,Vaihingen (Enz),Vaihingen (Enz),Bf,,
TV  W,Vaihingen (Enz) WEG,Vaihingen(Enz) W,Tp,,
TVN,Vaihingen (Enz) Nord,Vaihingen(E)Nord,Bf,,
TVRD,Veringendorf,Veringendorf,NE-Hp,,
TVRS,Veringenstadt,Veringenstadt,NE-Bf,,
TVS,Vaihingen (Enz) Stadt,Vaihingen Stadt,NE-Bf,,
TW,Weil der Stadt,Weil der Stadt,Bf,,
TWA,Wasseralfingen,Wasseralfingen,Hp Awanst,,
TWAL,Wallhausen (Württ),Wallhausen/Württ,Hp,,
TWAN,Wannweil,Wannweil,Hp,,
TWB,Bad Wildbad,Bad Wildbad,vp-Bf,,
TWBK,Bad Wildbad Kurpark,Kurpark,NE-Hp,,
TWBN,Bad Wildbad Nord,Bad Wildbad Nord,vp-Hp,,
TWBU,Bad Wildbad Uhlandplatz/Sommerbergbahn,Uhlandplatz,NE-Hp,,
TWCH,Weißbach (Württ),Weißbach(Württ),Bf,,
TWD,Wendlingen (Neckar),Wendlingen (N),Bf,,
TWDN,Widdern,Widdern,NE-Bf,,
TWDNK,Widdern Kirche,Widdern Kirche,Bush,,
TWE,Weingarten (Württ),Weingarten/Württ,Bf,,
TWEB,Weingarten/Berg,Weingarten/Berg,Hp,,
TWEBC,Weingarten Charlottenplatz,Weingart Charlpl,Bush,,
TWEH,Westernhausen,Westernhausen,NE-Bf,,
TWEI,Weil (Schönbuch),Weil (Schönbuch),NE-Bf,,
TWEIT,Weil Troppel,Weil Troppel,NE-Hp,,
TWEIU,Weil Untere Halde,Weil Unt Halde,NE-Hp,,
TWEL,Weiler (Rems),Weiler (Rems),Hp,,
TWEN,Wennedach,Wennedach,Museum,,
TWER,Wernau (Neckar),Wernau (Neckar),Hp,,
TWG,Waldenburg (Württ),Waldenburg (Wü),Bf,,
TWG H,Waldenburg-Hohebuch,Waldenburg-Hoheb,Bush,,
TWGN,Wengen,Wengen,NE-Bf,,
TWH,Walheim (Württ),Walheim (Württ),Bf,,
TWHF,Wackershofen Freilandmuseum,Wackershofen,Hp,,
TWHS,Waldhausen (b Geislingen),Waldhausen/Geisl,NE-Bf,,
TWI,Winnenden,Winnenden,Bf,,
TWIB,Wildberg (Württ),Wildberg (Württ),Bf,,
TWID,Wieslensdorf,Wieslensdorf,Hp,,
TWIN,Winterbach (b Schorndorf),Winterb b Schorn,Hp,,
TWIT,Wittighausen,Wittighausen,Hp Üst,,
TWK,Wilhelmsglück,Wilhelmsglück,Awanst,,
TWKM,Walkenmühle Abzw,Walkenmühle Abzw,NE-Abzw,,
TWL,Wilferdingen-Singen,Wilferdgn-Singen,Bf,,
TWLB,Willsbach,Willsbach,Hp,,
TWLH,Rietheim-Weilheim,Weilheim,Hp,,
TWM,Weikersheim,Weikersheim,Bf,,
TWM M,Weikersheim Marktplatz,Weikershm Markt,Bush,,
TWMH,Wertheim Mainhafen,Werthm Mainhafen,Awanst,,
TWMM,Wertheim Mainmühle,Werthm Mainmühle,Awanst,,
TWN,Waiblingen,Waiblingen,Bf,,
TWNQ,Waiblingen Bedienstandort,Waiblingen BSO,BSO,,
TWO,Wolfegg,Wolfegg,Hp,,
TWR,Weinsberg,Weinsberg,Bf,,
TWRH,Weinsberg Spar/Holderbusch,Spar/Holderbusch,Awanst,,
TWRW,Weinsberg West,Weinsberg West,Hp,,
TWS,Westerstetten,Westerstetten,Bf,,
TWSH,Westerstetten Bstg,Westerst Bstg,Bft,,
TWSH,Westerstetten Hp,Westerstetten Hp,Bft,,
TWSN,Weißenau,Weißenau,Hp,,
TWSS,Weissach,Weissach,NE-Bf,,
TWT,Wertheim,Wertheim,Bf,,
TWTB,Wertheim-Bestenheid,Werth-Bestenh,Hp,,
TWU,Wurmlingen,Wurmlingen,Bf,,
TWUM,Wurmlingen Mitte,Wurmlingen Mitte,Hp,,
TWUN,Wurmlingen Nord,Wurmlingen Nord,Bf,,
TWV,Warthausen,Warthausen,Awanst,,
TWVH,Warthausen                          (Hp),Warthausen    Hp,Hp,,
TWW,Wangen (Allgäu),Wangen (Allgäu),Bf,,
TWX,Westhausen,Westhausen,Hp,,
TWY,Waldhausen (b Schorndorf),Waldhsn b Schorn,Hp,,
TWZ,Welzheim,Welzheim,NE-Bf,,
TWZH,Winzenhofen,Winzenhofen,NE-Bf,,
TXOH,Schelklingen Übergang ENAG,DB/ENAG,Gp,,
TZB,Zaberfeld,Zaberfeld,Anst,,
TZF,Zwiefaltendorf,Zwiefaltendorf,Awanst,,
TZI,Zimmern (b Grünsfeld),Zimmern  /Grünsf,Hp,,
TZO,Bisingen Zollern,Zollern,Awanst,,
TZU,Züttlingen,Züttlingen,Bf,,
TZWE,Herrenberg Zwerchweg,Zwerchweg,NE-Hp,,
UA,Arnstadt Hbf,Arnstadt Hbf,Bf,,
UABX,Augustaburg-Tunnel Tbv,Augustaburg Tbv,Tbv,,
UACH,Altersbach,Altersbach,Hp,,
UAE,Auehütte,Auehütte,Hp,,
UAL,Allstedt,Allstedt,Bf,,
UAM,Ammerbach,Ammerbach,Bk,,
UAMM,Ammern,Ammern,Hp,,
UAMO,Ammern, OBI-Markt,Ammern.OBI-Markt,,
UAO,Arnstadt Ost,Arnstadt Ost,Bf,,
UAP,Apolda,Apolda,Bf,,
UAR,Arenshausen,Arenshausen,Hp,,
UAS,Auerstedt,Auerstedt,vp-Hp,,
UASD,Arnstadt Süd,Arnstadt Süd,Hp,,
UAT,Artern,Artern,Bf,,
UATG,Artern DB-Grenze,Artern DB-Gr,Gp,,
UAU,Auma,Auma,Bf,,
UAUW,Auwallenburg,Auwallenburg,Anst,,
UB,Bachfeld,Bachfeld,vp-Hp,,
UBA,Bibra,Bibra,Hp,,
UBAS,Ballstädt (Kr Gotha),Ballstädt Kr Go,Bf,,
UBB,Bad Berka,Bad Berka,Bf,,
UBBA,Breitenbach (Eichsfeld),Breitenbach Eich,Hp,,
